wflName nbPart c CM m TM ModelTM
depl-OOGV0x-3.xml 50000000 2100 18308 1306 19614 18615
depl-OOGV0x-3.xml 50000000 2400 18321 855 19176 18367
depl-OOGV0x-3.xml 50000000 2700 18836 1316 20152 19131
depl-OOGV0x-3.xml 50000000 3600 19007 129 19136 18033
depl-OOGV0x-3.xml 50000000 4500 20085 93 20178 18928
depl-OOGV0x-3.xml 50000000 5400 19321 398 19719 19744
depl-OOGV0x-3.xml 50000000 6300 21300 654 21954 20761
depl-OOGV0x-3.xml 50000000 7200 22177 176 22353 20122
depl-OOGV0x-3.xml 50000000 9000 20953 537 21490 23385
depl-OOGV0x-3.xml 50000000 10800 24060 910 24970 24899
depl-OOGV0x-4.xml 50000000 1200 17421 7735 25156 23825
depl-OOGV0x-4.xml 50000000 1500 17284 4059 21343 20300
depl-OOGV0x-4.xml 50000000 1800 17467 2097 19564 18462
depl-OOGV0x-4.xml 50000000 2100 17589 1590 19179 18145
depl-OOGV0x-4.xml 50000000 2400 17600 1293 18893 17953
depl-OOGV0x-4.xml 50000000 2700 17457 524 17981 17241
